Video_URL,Title,Published_Date,Thumbnails,Views
https://www.youtube.com/watch?v=0PaDKZaRWQ8,POLITICAL PARTIES in 1 Shot FULL CHAPTER COVERAGE (Theory+PYQs) || Class 10th Boards,2024-01-02T07:40:11Z,https://i.ytimg.com/vi/0PaDKZaRWQ8/default_live.jpg,2498
https://www.youtube.com/watch?v=V3OaMQDynpw,EUCLID'S GEOMETRY in 1 Shot || FULL Chapter Coverage (Concepts+PYQs) || Class 9th Maths,2024-01-04T12:30:16Z,https://i.ytimg.com/vi/V3OaMQDynpw/default.jpg,1013
https://www.youtube.com/watch?v=nIbZOBAV1as,HOW DO ORGANISMS REPRODUCE in 1 Shot FULL CHAPTER COVERAGE (Concepts+PYQs) || Class 10th Boards,2024-01-04T11:39:49Z,https://i.ytimg.com/vi/nIbZOBAV1as/default_live.jpg,0
https://www.youtube.com/watch?v=f4TeRbUVo3E,SUBJECT VERB CONCORD + DITERMINERS in 1 Shot | FULL Chapter (THEORY+PYQs) | Class 9th English,2024-01-04T09:30:09Z,https://i.ytimg.com/vi/f4TeRbUVo3E/default.jpg,2893
https://www.youtube.com/watch?v=6tYBDNRFUvc,Bachhon! Political Parties padhne aajao @5pm 💪 💪 #Warrior #PW #Shorts,2024-01-04T05:14:59Z,https://i.ytimg.com/vi/6tYBDNRFUvc/default.jpg,14208
https://www.youtube.com/watch?v=OfJ1oMgobBI,"GRAMMAR PART-2 (TENSES, SUBJECT VERB AGREEMENT, REPORTED SPEECH) in 1 Shot (Theory+PYQs) | Class 10",2024-01-03T17:44:38Z,https://i.ytimg.com/vi/OfJ1oMgobBI/default.jpg,100659
https://www.youtube.com/watch?v=TcCg33qVDTM,THE FRENCH REVOLUTION in 1 Shot || FULL Chapter Coverage (THEORY+PYQs) || Class 9th SST,2024-01-03T12:29:28Z,https://i.ytimg.com/vi/TcCg33qVDTM/default.jpg,6638
https://www.youtube.com/watch?v=ESD-p06p0Xw,"Complete Tenses, Subject-Verb Agrement & Reported Speech @5pm 💯 📚 #Warrior #PW #Shorts",2024-01-03T07:24:15Z,https://i.ytimg.com/vi/ESD-p06p0Xw/default.jpg,23690
https://www.youtube.com/watch?v=eAgrpM1LIZ8,MAGNETIC EFFECTS OF ELECTRIC CURRENT in 1 Shot FULL CHAPTER (Concepts+PYQs) || Class 10th Boards,2024-01-02T15:00:11Z,https://i.ytimg.com/vi/eAgrpM1LIZ8/default.jpg,204845
https://www.youtube.com/watch?v=zQbIU6utPJ4,TISSUES in 1 Shot || FULL Chapter Coverage (THEORY+PYQs) || Class 9th Biology,2024-01-02T12:30:37Z,https://i.ytimg.com/vi/zQbIU6utPJ4/default.jpg,21018
https://www.youtube.com/watch?v=D1bW05fOVbc,पूरा ख़तम करते हैं Magnetic Effects of Electric Current @5pm 😎 💪 #Warrior #PW #Shorts,2024-01-02T10:02:31Z,https://i.ytimg.com/vi/D1bW05fOVbc/default.jpg,64401
https://www.youtube.com/watch?v=xT_FoSm0j1U,LITTLE GIRL + THE RAIN ON THE ROOF in 1 Shot || FULL Chapters (THEORY+PYQs) || Class 9th English,2024-01-02T09:30:13Z,https://i.ytimg.com/vi/xT_FoSm0j1U/default.jpg,4882
https://www.youtube.com/watch?v=iguBQO_a8Mg,DRAINAGE in 1 Shot || FULL Chapter Coverage (THEORY+PYQs) || Class 9th SST,2024-01-01T12:30:22Z,https://i.ytimg.com/vi/iguBQO_a8Mg/default.jpg,9392
https://www.youtube.com/watch?v=Izs0McH2Rzs,New Year Resolution that Every Student Must Take ✅ | Must Watch for Class 9th & 10th 🚨,2024-01-01T06:30:08Z,https://i.ytimg.com/vi/Izs0McH2Rzs/default.jpg,69694
https://www.youtube.com/watch?v=J071v8HBuhw,SCIENCE BOARD मैं कैसे आएँगे 100/100 🎯 | Important TIPS & TRICKS🚨 | Class-10th,2023-12-31T13:00:14Z,https://i.ytimg.com/vi/J071v8HBuhw/default.jpg,223481
https://www.youtube.com/watch?v=CgOTWq2OCBc,MINERALS AND ENERGY RESOURCES in 1 Shot FULL CHAPTER COVERAGE (Concepts+PYQs) || Class 10th Boards,2023-12-30T18:29:04Z,https://i.ytimg.com/vi/CgOTWq2OCBc/default.jpg,98194
https://www.youtube.com/watch?v=TovkhURONCA,FORCE AND LAWS OF MOTION in 1 Shot || FULL Chapter Coverage (Concepts+PYQs) || Class 9th Science,2023-12-30T12:30:29Z,https://i.ytimg.com/vi/TovkhURONCA/default.jpg,15606
https://www.youtube.com/watch?v=s6DFsuvWl-4,LINEAR EQUATIONS IN TWO VARIABLES  in 1 Shot || FULL Chapter (Concepts+PYQs) || Class 9th Maths,2023-12-30T09:30:22Z,https://i.ytimg.com/vi/s6DFsuvWl-4/default.jpg,10464
